server_name,tool_name,tool_description,parameter_name,schema_type,datatype,parameter_description,is_required
airtable,airtable_create_field,Create a new field in a table,base_id,Input,String,ID of the base,Required
airtable,airtable_create_field,Create a new field in a table,field,Input,Object,,Required
airtable,airtable_create_field,Create a new field in a table,table_id,Input,String,ID of the table,Required
airtable,airtable_create_record,Create a new record in a table,base_id,Input,String,ID of the base,Required
airtable,airtable_create_record,Create a new record in a table,fields,Input,Object,Record fields as key-value pairs,Required
airtable,airtable_create_record,Create a new record in a table,table_name,Input,String,Name of the table,Required
airtable,airtable_create_table,Create a new table in a base,base_id,Input,String,ID of the base,Required
airtable,airtable_create_table,Create a new table in a base,description,Input,String,Description of the table,Optional
airtable,airtable_create_table,Create a new table in a base,fields,Input,Array,Initial fields for the table,Optional
airtable,airtable_create_table,Create a new table in a base,table_name,Input,String,Name of the new table,Required
airtable,airtable_delete_record,Delete a record from a table,base_id,Input,String,ID of the base,Required
airtable,airtable_delete_record,Delete a record from a table,record_id,Input,String,ID of the record to delete,Required
airtable,airtable_delete_record,Delete a record from a table,table_name,Input,String,Name of the table,Required
airtable,airtable_get_record,Get a single record by its ID,base_id,Input,String,ID of the base,Required
airtable,airtable_get_record,Get a single record by its ID,record_id,Input,String,ID of the record to retrieve,Required
airtable,airtable_get_record,Get a single record by its ID,table_name,Input,String,Name of the table,Required
airtable,airtable_list_records,List records in a table,base_id,Input,String,ID of the base,Required
airtable,airtable_list_records,List records in a table,max_records,Input,Number,Maximum number of records to return,Optional
airtable,airtable_list_records,List records in a table,table_name,Input,String,Name of the table,Required
airtable,airtable_list_tables,List all tables in a base,base_id,Input,String,ID of the base,Required
airtable,airtable_search_records,Search for records in a table,base_id,Input,String,ID of the base,Required
airtable,airtable_search_records,Search for records in a table,field_name,Input,String,Name of the field to search in,Required
airtable,airtable_search_records,Search for records in a table,table_name,Input,String,Name of the table,Required
airtable,airtable_search_records,Search for records in a table,value,Input,String,Value to search for,Required
airtable,airtable_update_field,Update a field in a table,base_id,Input,String,ID of the base,Required
airtable,airtable_update_field,Update a field in a table,field_id,Input,String,ID of the field to update,Required
airtable,airtable_update_field,Update a field in a table,table_id,Input,String,ID of the table,Required
airtable,airtable_update_field,Update a field in a table,updates,Input,Object,,Required
airtable,airtable_update_record,Update an existing record in a table,base_id,Input,String,ID of the base,Required
airtable,airtable_update_record,Update an existing record in a table,fields,Input,Object,Record fields to update as key-value pairs,Required
airtable,airtable_update_record,Update an existing record in a table,record_id,Input,String,ID of the record to update,Required
airtable,airtable_update_record,Update an existing record in a table,table_name,Input,String,Name of the table,Required
airtable,airtable_update_table,Update a table's schema,base_id,Input,String,ID of the base,Required
airtable,airtable_update_table,Update a table's schema,description,Input,String,New description for the table,Optional
airtable,airtable_update_table,Update a table's schema,name,Input,String,New name for the table,Optional
airtable,airtable_update_table,Update a table's schema,table_id,Input,String,ID of the table to update,Required
alchemy,alchemy_fetchAddressTransactionHistory,,addresses,Input,Array,A list of wallet address and network pairs,Required
alchemy,alchemy_fetchAddressTransactionHistory,,after,Input,String,The cursor that points to the next set of results. Use this to paginate through the results.,Optional
alchemy,alchemy_fetchAddressTransactionHistory,,before,Input,String,The cursor that points to the previous set of results. Use this to paginate through the results.,Optional
alchemy,alchemy_fetchAddressTransactionHistory,,limit,Input,Number,The number of results to return. Default is 25. Max is 100,Optional
alchemy,alchemy_fetchNftContractDataByMultichainAddress,,addresses,Input,Array,A list of wallet address and network pairs,Required
alchemy,alchemy_fetchNftContractDataByMultichainAddress,,withMetadata,Input,Boolean,Whether to include metadata in the results.,Optional
alchemy,alchemy_fetchNftsOwnedByMultichainAddresses,,addresses,Input,Array,A list of wallet address and network pairs,Required
alchemy,alchemy_fetchNftsOwnedByMultichainAddresses,,pageKey,Input,String,The cursor to start the search from. Use this to paginate through the results.,Optional
alchemy,alchemy_fetchNftsOwnedByMultichainAddresses,,pageSize,Input,Number,The number of results to return. Default is 100. Max is 100,Optional
alchemy,alchemy_fetchNftsOwnedByMultichainAddresses,,withMetadata,Input,Boolean,Whether to include metadata in the results.,Optional
alchemy,alchemy_fetchTokenPriceByAddress,,addresses,Input,Array,A list of token contract address and network pairs,Required
alchemy,alchemy_fetchTokenPriceBySymbol,,symbols,Input,Array,"A list of blockchaintoken symbols to query. e.g. [""BTC"", ""ETH""]",Required
alchemy,alchemy_fetchTokenPriceHistoryBySymbol,,endTime,Input,String,"The end time date to query. e.g. ""2021-01-01""",Required
alchemy,alchemy_fetchTokenPriceHistoryBySymbol,,interval,Input,String,"The interval to query. e.g. ""1d"" or ""1h""",Required
alchemy,alchemy_fetchTokenPriceHistoryBySymbol,,startTime,Input,String,"The start time date to query. e.g. ""2021-01-01""",Required
alchemy,alchemy_fetchTokenPriceHistoryBySymbol,,symbol,Input,String,"The token symbol to query. e.g. ""BTC"" or ""ETH""",Required
alchemy,alchemy_fetchTokenPriceHistoryByTimeFrame,,interval,Input,String,"The interval to query. e.g. ""1d"" or ""1h""",Optional
alchemy,alchemy_fetchTokenPriceHistoryByTimeFrame,,symbol,Input,String,"The token symbol to query. e.g. ""BTC"" or ""ETH""",Required
alchemy,alchemy_fetchTokenPriceHistoryByTimeFrame,,timeFrame,Input,String,"Time frame like ""last-week"", ""past-7d"", ""ytd"", ""last-month"", etc. or use natural language like ""last week""",Required
alchemy,alchemy_fetchTokenPriceHistoryByTimeFrame,,useNaturalLanguageProcessing,Input,Boolean,"If true, will interpret timeFrame as natural language",Optional
alchemy,alchemy_fetchTokensOwnedByMultichainAddresses,,addresses,Input,Array,A list of wallet address and network pairs,Required
alchemy,alchemy_fetchTransfers,,category,Input,Array,"The category of transfers to query. e.g. ""external"" or ""internal""",Optional
alchemy,alchemy_fetchTransfers,,contractAddresses,Input,Array,"The contract addresses to query. e.g. [""0x1234567890123456789012345678901234567890""]",Optional
alchemy,alchemy_fetchTransfers,,excludeZeroValue,Input,Boolean,Whether to exclude zero value transfers.,Optional
alchemy,alchemy_fetchTransfers,,fromAddress,Input,String,The wallet address to query the transfer was sent from.,Optional
alchemy,alchemy_fetchTransfers,,fromBlock,Input,String,"The block number to start the search from. e.g. ""1234567890"". Inclusive from block (hex string, int, latest, or indexed).",Optional
alchemy,alchemy_fetchTransfers,,maxCount,Input,String,"The maximum number of results to return. e.g. ""0x3E8"".",Optional
alchemy,alchemy_fetchTransfers,,network,Input,String,"The blockchain network to query. e.g. ""eth-mainnet"" or ""base-mainnet"").",Optional
alchemy,alchemy_fetchTransfers,,order,Input,String,"The order of the results. e.g. ""asc"" or ""desc"".",Optional
alchemy,alchemy_fetchTransfers,,pageKey,Input,String,The cursor to start the search from. Use this to paginate through the results.,Optional
alchemy,alchemy_fetchTransfers,,toAddress,Input,String,The wallet address to query the transfer was sent to.,Optional
alchemy,alchemy_fetchTransfers,,toBlock,Input,String,"The block number to end the search at. e.g. ""1234567890"". Inclusive to block (hex string, int, latest, or indexed).",Optional
alchemy,alchemy_fetchTransfers,,withMetadata,Input,Boolean,Whether to include metadata in the results.,Optional
arxiv,arxiv_download_paper,Download a paper and create a resource for it,check_status,Input,Boolean,"If true, only check conversion status without downloading",Optional
arxiv,arxiv_download_paper,Download a paper and create a resource for it,paper_id,Input,String,The arXiv ID of the paper to download,Required
arxiv,arxiv_read_paper,Read the full content of a stored paper in markdown format,paper_id,Input,String,The arXiv ID of the paper to read,Required
arxiv,arxiv_search_papers,Search for papers on arXiv with advanced filtering,categories,Input,Array,,Optional
arxiv,arxiv_search_papers,Search for papers on arXiv with advanced filtering,date_from,Input,String,,Optional
arxiv,arxiv_search_papers,Search for papers on arXiv with advanced filtering,date_to,Input,String,,Optional
arxiv,arxiv_search_papers,Search for papers on arXiv with advanced filtering,max_results,Input,Integer,,Optional
arxiv,arxiv_search_papers,Search for papers on arXiv with advanced filtering,query,Input,String,,Required
brave-search,brave-search_brave_local_search,"Searches for local businesses and places using Brave's Local Search API. Best for queries related to physical locations, businesses, restaurants, services, etc. Returns detailed information including:
- Business names and addresses
- Ratings and review counts
- Phone numbers and opening hours
Use this when the query implies 'near me' or mentions specific locations. Automatically falls back to web search if no local results are found.",count,Input,Number,"Number of results (1-20, default 5)",Optional
brave-search,brave-search_brave_local_search,"Searches for local businesses and places using Brave's Local Search API. Best for queries related to physical locations, businesses, restaurants, services, etc. Returns detailed information including:
- Business names and addresses
- Ratings and review counts
- Phone numbers and opening hours
Use this when the query implies 'near me' or mentions specific locations. Automatically falls back to web search if no local results are found.",query,Input,String,Local search query (e.g. 'pizza near Central Park'),Required
brave-search,brave-search_brave_web_search,"Performs a web search using the Brave Search API, ideal for general queries, news, articles, and online content. Use this for broad information gathering, recent events, or when you need diverse web sources. Supports pagination, content filtering, and freshness controls. Maximum 20 results per request, with offset for pagination. ",count,Input,Number,"Number of results (1-20, default 10)",Optional
brave-search,brave-search_brave_web_search,"Performs a web search using the Brave Search API, ideal for general queries, news, articles, and online content. Use this for broad information gathering, recent events, or when you need diverse web sources. Supports pagination, content filtering, and freshness controls. Maximum 20 results per request, with offset for pagination. ",offset,Input,Number,"Pagination offset (max 9, default 0)",Optional
brave-search,brave-search_brave_web_search,"Performs a web search using the Brave Search API, ideal for general queries, news, articles, and online content. Use this for broad information gathering, recent events, or when you need diverse web sources. Supports pagination, content filtering, and freshness controls. Maximum 20 results per request, with offset for pagination. ",query,Input,String,"Search query (max 400 chars, 50 words)",Required
calculator,calculator_calculate,Calculates/evaluates the given expression.,expression,Input,String,,Required
