server_name,tool_name,parameter_name,schema_type,datatype,parameter_description,is_required
github,github_create_pull_request,body,Input,String,PR description,Optional
github,github_create_pull_request,base,Input,String,Branch to merge into,Required
github,github_create_pull_request,owner,Input,String,Repository owner,Required
github,github_get_pull_request_review_comments,repo,Input,String,Repository name,Required
github,github_get_pull_request_review_comments,per_page,Input,Number,"Results per page (default 10, max 100)",Optional
github,github_get_pull_request_review_comments,sort,Input,String,Sort comments by created or updated time,Optional
github,github_get_pull_request_review_comments,pullNumber,Input,Number,Pull request number,Required
github,github_get_pull_request_review_comments,direction,Input,String,Sort direction,Optional
github,github_get_pull_request_review_comments,since,Input,String,Only show comments updated after this time (ISO 8601 format),Optional
github,github_get_pull_request_review_comments,page,Input,Number,Page number (default 1),Optional
github,github_get_pull_request_review_comments,owner,Input,String,Repository owner,Required
github,github_create_pull_request_review_comment,repo,Input,String,Repository name,Required
github,github_create_pull_request_review_comment,pullNumber,Input,Number,Pull request number,Required
github,github_create_pull_request_review_comment,start_line,Input,Number,Start line for multi-line comment,Optional
github,github_create_pull_request_review_comment,path,Input,String,Relative path to the file being commented on,Required
github,github_create_pull_request_review_comment,commit_id,Input,String,SHA of the commit to comment on,Required
github,github_create_pull_request_review_comment,body,Input,String,Comment body,Required
github,github_create_pull_request_review_comment,start_side,Input,String,Start side for multi-line comment,Optional
github,github_create_pull_request_review_comment,in_reply_to,Input,Number,ID of review comment to reply to,Optional
github,github_create_pull_request_review_comment,owner,Input,String,Repository owner,Required
github,github_create_pull_request_review_comment,side,Input,String,"Side of diff (LEFT for deletion, RIGHT for addition)",Optional
github,github_create_pull_request_review_comment,line,Input,Number,Line number for single-line comment,Optional
google-maps,google-maps_maps_geocode,address,Input,String,The address to geocode,Required
google-maps,google-maps_maps_reverse_geocode,longitude,Input,Number,Longitude coordinate,Required
google-maps,google-maps_maps_reverse_geocode,latitude,Input,Number,Latitude coordinate,Required
google-maps,google-maps_maps_search_places,radius,Input,Number,Search radius in meters (max 50000),Optional
google-maps,google-maps_maps_search_places,query,Input,String,Search query,Required
google-maps,google-maps_maps_search_places,location,Input,Object,Optional center point for the search,Optional
google-maps,google-maps_maps_place_details,place_id,Input,String,The place ID to get details for,Required
google-maps,google-maps_maps_distance_matrix,destinations,Input,Array,Array of destination addresses or coordinates,Required
google-maps,google-maps_maps_distance_matrix,origins,Input,Array,Array of origin addresses or coordinates,Required
google-maps,google-maps_maps_distance_matrix,mode,Input,String,"Travel mode (driving, walking, bicycling, transit)",Optional
google-maps,google-maps_maps_elevation,locations,Input,Array,Array of locations to get elevation for,Required
google-maps,google-maps_maps_directions,mode,Input,String,"Travel mode (driving, walking, bicycling, transit)",Optional
google-maps,google-maps_maps_directions,origin,Input,String,Starting point address or coordinates,Required
google-maps,google-maps_maps_directions,destination,Input,String,Ending point address or coordinates,Required
google-workspace,google-workspace_list_emails,query,Input,String,Search query to filter emails,Optional
google-workspace,google-workspace_list_emails,maxResults,Input,Number,Maximum number of emails to return (default: 10),Optional
google-workspace,google-workspace_search_emails,query,Input,String,"Gmail search query (e.g., ""from:example@gmail.com has:attachment""). Examples:
- ""from:alice@example.com"" (Emails from Alice)
- ""to:bob@example.com"" (Emails sent to Bob)
- ""subject:Meeting Update"" (Emails with ""Meeting Update"" in the subject)
- ""has:attachment filename:pdf"" (Emails with PDF attachments)
- ""after:2024/01/01 before:2024/02/01"" (Emails between specific dates)
- ""is:unread"" (Unread emails)
- ""from:@company.com has:attachment"" (Emails from a company domain with attachments)",Required
google-workspace,google-workspace_search_emails,maxResults,Input,Number,Maximum number of emails to return (default: 10),Optional
google-workspace,google-workspace_send_email,bcc,Input,String,BCC recipients (comma-separated),Optional
google-workspace,google-workspace_send_email,subject,Input,String,Email subject,Required
google-workspace,google-workspace_send_email,to,Input,String,Recipient email address,Required
google-workspace,google-workspace_send_email,cc,Input,String,CC recipients (comma-separated),Optional
google-workspace,google-workspace_send_email,body,Input,String,Email body (can include HTML),Required
google-workspace,google-workspace_modify_email,addLabels,Input,Array,Labels to add,Optional
google-workspace,google-workspace_modify_email,id,Input,String,Email ID,Required
google-workspace,google-workspace_modify_email,removeLabels,Input,Array,Labels to remove,Optional
google-workspace,google-workspace_list_events,maxResults,Input,Number,Maximum number of events to return (default: 10),Optional
google-workspace,google-workspace_list_events,timeMax,Input,String,End time in ISO format,Optional
google-workspace,google-workspace_list_events,timeMin,Input,String,Start time in ISO format (default: now),Optional
google-workspace,google-workspace_create_event,description,Input,String,Event description,Optional
google-workspace,google-workspace_create_event,start,Input,String,Start time in ISO format,Required
google-workspace,google-workspace_create_event,attendees,Input,Array,List of attendee email addresses,Optional
google-workspace,google-workspace_create_event,location,Input,String,Event location,Optional
google-workspace,google-workspace_create_event,summary,Input,String,Event title,Required
google-workspace,google-workspace_create_event,end,Input,String,End time in ISO format,Required
google-workspace,google-workspace_update_event,description,Input,String,New event description,Optional
google-workspace,google-workspace_update_event,start,Input,String,New start time in ISO format,Optional
google-workspace,google-workspace_update_event,attendees,Input,Array,New list of attendee email addresses,Optional
google-workspace,google-workspace_update_event,location,Input,String,New event location,Optional
google-workspace,google-workspace_update_event,summary,Input,String,New event title,Optional
google-workspace,google-workspace_update_event,end,Input,String,New end time in ISO format,Optional
google-workspace,google-workspace_update_event,eventId,Input,String,Event ID to update,Required
google-workspace,google-workspace_delete_event,eventId,Input,String,Event ID to delete,Required
lara-translate,lara-translate_translate,adapt_to,Input,Array,A list of translation memory IDs for adapting the translation.,Optional
lara-translate,lara-translate_translate,target,Input,String,"The target language code (e.g., 'it-IT' for Italian). This specifies the language you want the text translated into.",Required
lara-translate,lara-translate_translate,source_hint,Input,String,Used to guide language detection. Specify this when the source language is uncertain to improve detection accuracy.,Optional
lara-translate,lara-translate_translate,source,Input,String,"The source language code (e.g., 'en-EN' for English). If not specified, the system will attempt to detect it automatically. If you have a hint about the source language, you should specify it in the source_hint field.",Optional
lara-translate,lara-translate_translate,instructions,Input,Array,"A list of instructions to adjust the network’s behavior regarding the output (e.g., 'Use a formal tone').",Optional
lara-translate,lara-translate_translate,text,Input,Array,An array of text blocks to translate. Each block contains a text string and a boolean indicating whether it should be translated. This allows for selective translation where some text blocks can be preserved in their original form while others are translated.,Required
lara-translate,lara-translate_translate,context,Input,String,"Additional context string to improve translation quality (e.g., 'This is a legal document' or 'Im talking with a doctor'). This helps the translation system better understand the domain.",Optional
lara-translate,lara-translate_create_memory,name,Input,String,"The name of the new memory, it should be short and generic, like 'catch_phrases' or 'brand_names'",Required
lara-translate,lara-translate_create_memory,external_id,Input,String,The ID of the memory to be imported from MyMemory. Use this to initialize the memory with external content. Format: ext_my_[MyMemory ID],Optional
lara-translate,lara-translate_delete_memory,id,Input,String,The unique identifier of the memory to update. Format: mem_xyz123,Required
lara-translate,lara-translate_update_memory,id,Input,String,The unique identifier of the memory to update. Format: mem_xyz123,Required
lara-translate,lara-translate_update_memory,name,Input,String,The new name for the memory,Required
lara-translate,lara-translate_add_translation,target,Input,String,"The target language code of the translation, it MUST be a language supported by the system, use the list_languages tool to get a list of all the supported languages",Required
lara-translate,lara-translate_add_translation,translation,Input,String,The translated sentence,Required
lara-translate,lara-translate_add_translation,sentence_after,Input,String,The sentence after the source sentence to specify the context of the translation unit,Optional
lara-translate,lara-translate_add_translation,source,Input,String,"The source language code of the sentence, it MUST be a language supported by the system, use the list_languages tool to get a list of all the supported languages",Required
lara-translate,lara-translate_add_translation,sentence,Input,String,The source sentence,Required
lara-translate,lara-translate_add_translation,sentence_before,Input,String,The sentence before the source sentence to specify the context of the translation unit,Optional
lara-translate,lara-translate_add_translation,tuid,Input,String,Translation Unit unique identifier,Optional
lara-translate,lara-translate_add_translation,id,Input,Array,The ID or list of IDs where to save the translation unit. Format: mem_xyz123,Required
lara-translate,lara-translate_delete_translation,target,Input,String,The target language code of the translation,Required
lara-translate,lara-translate_delete_translation,translation,Input,String,The translated sentence,Required
lara-translate,lara-translate_delete_translation,sentence_after,Input,String,The sentence after the source sentence to specify the context of the translation unit,Optional
lara-translate,lara-translate_delete_translation,source,Input,String,The source language code of the sentence,Required
lara-translate,lara-translate_delete_translation,sentence,Input,String,The source sentence,Required
lara-translate,lara-translate_delete_translation,sentence_before,Input,String,The sentence before the source sentence to specify the context of the translation unit,Optional
lara-translate,lara-translate_delete_translation,tuid,Input,String,Translation Unit unique identifier,Optional
lara-translate,lara-translate_delete_translation,id,Input,Array,The ID or list of IDs where to delete the translation unit from. Format: mem_xyz123,Required
lara-translate,lara-translate_import_tmx,gzip,Input,Boolean,Indicates if the file is a compressed .gz file,Optional
lara-translate,lara-translate_import_tmx,id,Input,String,The ID of the memory to update. Format: mem_xyz123.,Required
lara-translate,lara-translate_import_tmx,tmx_content,Input,String,The content of the tmx file to upload. Don't provide this if you choose to use tmx_url.,Optional
lara-translate,lara-translate_import_tmx,tmx_url,Input,String,A URL to the tmx file to upload. Don't provide this if you choose to use tmx_content.,Optional
lara-translate,lara-translate_check_import_status,id,Input,String,The ID of the import job,Required
mcp-code-executor,mcp-code-executor_execute_code,code,Input,String,Python code to execute,Required
mcp-code-executor,mcp-code-executor_execute_code,filename,Input,String,Optional: Name of the file to save the code (default: generated UUID),Optional
mcp-code-executor,mcp-code-executor_initialize_code_file,content,Input,String,Initial content to write to the file,Required
mcp-code-executor,mcp-code-executor_initialize_code_file,filename,Input,String,Optional: Name of the file (default: generated UUID),Optional
mcp-code-executor,mcp-code-executor_append_to_code_file,content,Input,String,Content to append to the file,Required
mcp-code-executor,mcp-code-executor_append_to_code_file,file_path,Input,String,Full path to the file,Required
mcp-code-executor,mcp-code-executor_execute_code_file,file_path,Input,String,Full path to the Python file to execute,Required
mcp-code-executor,mcp-code-executor_read_code_file,file_path,Input,String,Full path to the file to read,Required
mcp-code-executor,mcp-code-executor_install_dependencies,packages,Input,Array,List of packages to install,Required
mcp-code-executor,mcp-code-executor_check_installed_packages,packages,Input,Array,List of packages to check,Required
mcp-code-executor,mcp-code-executor_configure_environment,type,Input,String,Type of Python environment,Required
mcp-code-executor,mcp-code-executor_configure_environment,uv_venv_path,Input,String,Path to the UV virtualenv (required if type is 'venv-uv'),Optional
mcp-code-executor,mcp-code-executor_configure_environment,conda_name,Input,String,Name of the conda environment (required if type is 'conda'),Optional
mcp-code-executor,mcp-code-executor_configure_environment,venv_path,Input,String,Path to the virtualenv (required if type is 'venv'),Optional
mcp-server-code-runner,mcp-server-code-runner_run-code,code,Input,String,Code Snippet,Required
mcp-server-code-runner,mcp-server-code-runner_run-code,languageId,Input,String,Language ID,Required
memory,memory_create_entities,entities,Input,Array,,Required
memory,memory_create_relations,relations,Input,Array,,Required
memory,memory_add_observations,observations,Input,Array,,Required
memory,memory_delete_entities,entityNames,Input,Array,An array of entity names to delete,Required
memory,memory_delete_observations,deletions,Input,Array,,Required
memory,memory_delete_relations,relations,Input,Array,An array of relations to delete,Required
memory,memory_search_nodes,query,Input,String,"The search query to match against entity names, types, and observation content",Required
memory,memory_open_nodes,names,Input,Array,An array of entity names to retrieve,Required
met-museum,met-museum_search-museum-objects,hasImages,Input,Boolean,Only returns objects that have images,Optional
met-museum,met-museum_search-museum-objects,title,Input,Boolean,This should be set to true if you want to search for objects by title,Optional
met-museum,met-museum_search-museum-objects,q,Input,String,"The search query, Returns a listing of all Object IDs for objects that contain the search query within the object's data",Required
met-museum,met-museum_search-museum-objects,departmentId,Input,Number,Returns objects that are in the specified department. The departmentId should come from the 'list-departments' tool.,Optional
met-museum,met-museum_get-museum-object,objectId,Input,Number,The ID of the museum object to retrieve,Required
met-museum,met-museum_get-museum-object,returnImage,Input,Boolean,Whether to return the image (if available) of the object and add it to the server resources,Optional
mongodb,mongodb_switch-connection,connectionString,Input,String,MongoDB connection string to switch to (in the mongodb:// or mongodb+srv:// format),Optional
mongodb,mongodb_list-collections,database,Input,String,Database name,Required
mongodb,mongodb_collection-indexes,database,Input,String,Database name,Required
mongodb,mongodb_collection-indexes,collection,Input,String,Collection name,Required
mongodb,mongodb_create-index,keys,Input,Object,The index definition,Required
mongodb,mongodb_create-index,database,Input,String,Database name,Required
mongodb,mongodb_create-index,name,Input,String,The name of the index,Optional
mongodb,mongodb_create-index,collection,Input,String,Collection name,Required
mongodb,mongodb_collection-schema,database,Input,String,Database name,Required
mongodb,mongodb_collection-schema,collection,Input,String,Collection name,Required
mongodb,mongodb_find,projection,Input,Object,"The projection, matching the syntax of the projection argument of db.collection.find()",Optional
mongodb,mongodb_find,collection,Input,String,Collection name,Required
mongodb,mongodb_find,sort,Input,Object,"A document, describing the sort order, matching the syntax of the sort argument of cursor.sort(). The keys of the object are the fields to sort on, while the values are the sort directions (1 for ascending, -1 for descending).",Optional
mongodb,mongodb_find,database,Input,String,Database name,Required
mongodb,mongodb_find,limit,Input,Number,The maximum number of documents to return,Optional
mongodb,mongodb_find,filter,Input,Object,"The query filter, matching the syntax of the query argument of db.collection.find()",Optional
mongodb,mongodb_insert-many,documents,Input,Array,"The array of documents to insert, matching the syntax of the document argument of db.collection.insertMany()",Required
mongodb,mongodb_insert-many,database,Input,String,Database name,Required
mongodb,mongodb_insert-many,collection,Input,String,Collection name,Required
mongodb,mongodb_delete-many,database,Input,String,Database name,Required
mongodb,mongodb_delete-many,collection,Input,String,Collection name,Required
mongodb,mongodb_delete-many,filter,Input,Object,"The query filter, specifying the deletion criteria. Matches the syntax of the filter argument of db.collection.deleteMany()",Optional
mongodb,mongodb_collection-storage-size,database,Input,String,Database name,Required
mongodb,mongodb_collection-storage-size,collection,Input,String,Collection name,Required
mongodb,mongodb_count,database,Input,String,Database name,Required
mongodb,mongodb_count,query,Input,Object,A filter/query parameter. Allows users to filter the documents to count. Matches the syntax of the filter argument of db.collection.count().,Optional
mongodb,mongodb_count,collection,Input,String,Collection name,Required
mongodb,mongodb_db-stats,database,Input,String,Database name,Required
mongodb,mongodb_aggregate,database,Input,String,Database name,Required
mongodb,mongodb_aggregate,pipeline,Input,Array,An array of aggregation stages to execute,Required
mongodb,mongodb_aggregate,collection,Input,String,Collection name,Required
mongodb,mongodb_update-many,collection,Input,String,Collection name,Required
mongodb,mongodb_update-many,update,Input,Object,An update document describing the modifications to apply using update operator expressions,Required
mongodb,mongodb_update-many,database,Input,String,Database name,Required
mongodb,mongodb_update-many,upsert,Input,Boolean,Controls whether to insert a new document if no documents match the filter,Optional
mongodb,mongodb_update-many,filter,Input,Object,"The selection criteria for the update, matching the syntax of the filter argument of db.collection.updateOne()",Optional
mongodb,mongodb_rename-collection,database,Input,String,Database name,Required
mongodb,mongodb_rename-collection,dropTarget,Input,Boolean,"If true, drops the target collection if it exists",Optional
mongodb,mongodb_rename-collection,newName,Input,String,The new name for the collection,Required
mongodb,mongodb_rename-collection,collection,Input,String,Collection name,Required
mongodb,mongodb_drop-database,database,Input,String,Database name,Required
mongodb,mongodb_drop-collection,database,Input,String,Database name,Required
mongodb,mongodb_drop-collection,collection,Input,String,Collection name,Required
mongodb,mongodb_explain,database,Input,String,Database name,Required
mongodb,mongodb_explain,method,Input,Array,The method and its arguments to run,Required
mongodb,mongodb_explain,collection,Input,String,Collection name,Required
mongodb,mongodb_create-collection,database,Input,String,Database name,Required
mongodb,mongodb_create-collection,collection,Input,String,Collection name,Required
mongodb,mongodb_mongodb-logs,type,Input,String,"The type of logs to return. Global returns all recent log entries, while startupWarnings returns only warnings and errors from when the process started.",Optional
mongodb,mongodb_mongodb-logs,limit,Input,Integer,The maximum number of log entries to return.,Optional
national-parks,national-parks_findParks,start,Input,Number,Start position for results (useful for pagination),Optional
national-parks,national-parks_findParks,stateCode,Input,String,"Filter parks by state code (e.g., ""CA"" for California, ""NY"" for New York). Multiple states can be comma-separated (e.g., ""CA,OR,WA"")",Optional
national-parks,national-parks_findParks,q,Input,String,Search term to filter parks by name or description,Optional
national-parks,national-parks_findParks,activities,Input,String,"Filter by available activities (e.g., ""hiking,camping"")",Optional
national-parks,national-parks_findParks,limit,Input,Number,"Maximum number of parks to return (default: 10, max: 50)",Optional
national-parks,national-parks_getParkDetails,parkCode,Input,String,"The park code of the national park (e.g., ""yose"" for Yosemite, ""grca"" for Grand Canyon)",Required
national-parks,national-parks_getAlerts,start,Input,Number,Start position for results (useful for pagination),Optional
national-parks,national-parks_getAlerts,parkCode,Input,String,"Filter alerts by park code (e.g., ""yose"" for Yosemite). Multiple parks can be comma-separated (e.g., ""yose,grca"").",Optional
national-parks,national-parks_getAlerts,q,Input,String,Search term to filter alerts by title or description,Optional
national-parks,national-parks_getAlerts,limit,Input,Number,"Maximum number of alerts to return (default: 10, max: 50)",Optional
national-parks,national-parks_getVisitorCenters,start,Input,Number,Start position for results (useful for pagination),Optional
national-parks,national-parks_getVisitorCenters,parkCode,Input,String,"Filter visitor centers by park code (e.g., ""yose"" for Yosemite). Multiple parks can be comma-separated (e.g., ""yose,grca"").",Optional
national-parks,national-parks_getVisitorCenters,q,Input,String,Search term to filter visitor centers by name or description,Optional
national-parks,national-parks_getVisitorCenters,limit,Input,Number,"Maximum number of visitor centers to return (default: 10, max: 50)",Optional
national-parks,national-parks_getCampgrounds,start,Input,Number,Start position for results (useful for pagination),Optional
national-parks,national-parks_getCampgrounds,parkCode,Input,String,"Filter campgrounds by park code (e.g., ""yose"" for Yosemite). Multiple parks can be comma-separated (e.g., ""yose,grca"").",Optional
national-parks,national-parks_getCampgrounds,q,Input,String,Search term to filter campgrounds by name or description,Optional
national-parks,national-parks_getCampgrounds,limit,Input,Number,"Maximum number of campgrounds to return (default: 10, max: 50)",Optional
national-parks,national-parks_getEvents,start,Input,Number,Start position for results (useful for pagination),Optional
national-parks,national-parks_getEvents,q,Input,String,Search term to filter events by title or description,Optional
national-parks,national-parks_getEvents,limit,Input,Number,"Maximum number of events to return (default: 10, max: 50)",Optional
national-parks,national-parks_getEvents,parkCode,Input,String,"Filter events by park code (e.g., ""yose"" for Yosemite). Multiple parks can be comma-separated (e.g., ""yose,grca"").",Optional
national-parks,national-parks_getEvents,dateEnd,Input,String,End date for filtering events (format: YYYY-MM-DD),Optional
national-parks,national-parks_getEvents,dateStart,Input,String,Start date for filtering events (format: YYYY-MM-DD),Optional
notion,notion_API-get-user,user_id,Input,String,,Required
notion,notion_API-get-users,page_size,Input,Integer,The number of items from the full list desired in the response. Maximum: 100,Optional
notion,notion_API-get-users,start_cursor,Input,String,"If supplied, this endpoint will return a page of results starting after the cursor provided. If not supplied, this endpoint will return the first page of results.",Optional
notion,notion_API-post-database-query,sorts,Input,Array,"When supplied, orders the results based on the provided [sort criteria](ref:post-database-query-sort).",Optional
notion,notion_API-post-database-query,in_trash,Input,Boolean,,Optional
notion,notion_API-post-database-query,start_cursor,Input,String,"When supplied, returns a page of results starting after the cursor provided. If not supplied, this endpoint will return the first page of results.",Optional
notion,notion_API-post-database-query,filter_properties,Input,Array,A list of page property value IDs associated with the database. Use this param to limit the response to a specific page property value or values for pages that meet the `filter` criteria.,Optional
notion,notion_API-post-database-query,database_id,Input,String,Identifier for a Notion database.,Required
notion,notion_API-post-database-query,page_size,Input,Integer,The number of items from the full list desired in the response. Maximum: 100,Optional
notion,notion_API-post-database-query,archived,Input,Boolean,,Optional
notion,notion_API-post-database-query,filter,Input,Object,"When supplied, limits which pages are returned based on the [filter conditions](ref:post-database-query-filter).",Optional
notion,notion_API-post-search,page_size,Input,Integer,The number of items from the full list to include in the response. Maximum: `100`.,Optional
notion,notion_API-post-search,query,Input,String,The text that the API compares page and database titles against.,Optional
notion,notion_API-post-search,start_cursor,Input,String,"A `cursor` value returned in a previous response that If supplied, limits the response to results starting after the `cursor`. If not supplied, then the first page of results is returned. Refer to [pagination](https://developers.notion.com/reference/intro#pagination) for more details.",Optional
notion,notion_API-post-search,sort,Input,Object,"A set of criteria, `direction` and `timestamp` keys, that orders the results. The **only** supported timestamp value is `""last_edited_time""`. Supported `direction` values are `""ascending""` and `""descending""`. If `sort` is not provided, then the most recently edited results are returned first.",Optional
notion,notion_API-post-search,filter,Input,Object,"A set of criteria, `value` and `property` keys, that limits the results to either only pages or only databases. Possible `value` values are `""page""` or `""database""`. The only supported `property` value is `""object""`.",Optional
notion,notion_API-get-block-children,block_id,Input,String,Identifier for a [block](ref:block),Required
notion,notion_API-get-block-children,page_size,Input,Integer,The number of items from the full list desired in the response. Maximum: 100,Optional
notion,notion_API-get-block-children,start_cursor,Input,String,"If supplied, this endpoint will return a page of results starting after the cursor provided. If not supplied, this endpoint will return the first page of results.",Optional
notion,notion_API-patch-block-children,block_id,Input,String,Identifier for a [block](ref:block). Also accepts a [page](ref:page) ID.,Required
notion,notion_API-patch-block-children,children,Input,Array,Child content to append to a container block as an array of [block objects](ref:block),Required
notion,notion_API-patch-block-children,after,Input,String,The ID of the existing block that the new block should be appended after.,Optional
notion,notion_API-retrieve-a-block,block_id,Input,String,Identifier for a Notion block,Required
notion,notion_API-update-a-block,block_id,Input,String,Identifier for a Notion block,Required
notion,notion_API-update-a-block,type,Input,Object,The [block object `type`](ref:block#block-object-keys) value with the properties to be updated. Currently only `text` (for supported block types) and `checked` (for `to_do` blocks) fields can be updated.,Optional
notion,notion_API-update-a-block,archived,Input,Boolean,Set to true to archive (delete) a block. Set to false to un-archive (restore) a block.,Optional
notion,notion_API-delete-a-block,block_id,Input,String,Identifier for a Notion block,Required
notion,notion_API-retrieve-a-page,page_id,Input,String,Identifier for a Notion page,Required
notion,notion_API-retrieve-a-page,filter_properties,Input,String,"A list of page property value IDs associated with the page. Use this param to limit the response to a specific page property value or values. To retrieve multiple properties, specify each page property ID. For example: `?filter_properties=iAk8&filter_properties=b7dh`.",Optional
notion,notion_API-patch-page,properties,Input,Object,"The property values to update for the page. The keys are the names or IDs of the property and the values are property values. If a page property ID is not included, then it is not changed.",Optional
notion,notion_API-patch-page,cover,Input,Object,A cover image for the page. Only [external file objects](https://developers.notion.com/reference/file-object) are supported.,Optional
notion,notion_API-patch-page,in_trash,Input,Boolean,Set to true to delete a block. Set to false to restore a block.,Optional
notion,notion_API-patch-page,icon,Input,Object,A page icon for the page. Supported types are [external file object](https://developers.notion.com/reference/file-object) or [emoji object](https://developers.notion.com/reference/emoji-object).,Optional
notion,notion_API-patch-page,archived,Input,Boolean,,Optional
notion,notion_API-patch-page,page_id,Input,String,The identifier for the Notion page to be updated.,Required
notion,notion_API-post-page,properties,Input,Object,,Required
notion,notion_API-post-page,cover,Input,String,"The cover image of the new page, represented as a [file object](https://developers.notion.com/reference/file-object).",Optional
notion,notion_API-post-page,icon,Input,String,The icon of the new page. Either an [emoji object](https://developers.notion.com/reference/emoji-object) or an [external file object](https://developers.notion.com/reference/file-object)..,Optional
notion,notion_API-post-page,children,Input,Array,"The content to be rendered on the new page, represented as an array of [block objects](https://developers.notion.com/reference/block).",Optional
notion,notion_API-post-page,parent,Input,Object,,Required
notion,notion_API-create-a-database,properties,Input,Object,Property schema of database. The keys are the names of properties as they appear in Notion and the values are [property schema objects](https://developers.notion.com/reference/property-schema-object).,Required
notion,notion_API-create-a-database,parent,Input,Object,,Required
notion,notion_API-create-a-database,title,Input,Array,,Optional
notion,notion_API-update-a-database,properties,Input,Object,Property schema of database. The keys are the names of properties as they appear in Notion and the values are [property schema objects](https://developers.notion.com/reference/property-schema-object).,Optional
notion,notion_API-update-a-database,description,Input,Array,"An array of [rich text objects](https://developers.notion.com/reference/rich-text) that represents the description of the database that is displayed in the Notion UI. If omitted, then the database description remains unchanged.",Optional
notion,notion_API-update-a-database,title,Input,Array,"An array of [rich text objects](https://developers.notion.com/reference/rich-text) that represents the title of the database that is displayed in the Notion UI. If omitted, then the database title remains unchanged.",Optional
notion,notion_API-update-a-database,database_id,Input,String,identifier for a Notion database,Required
notion,notion_API-retrieve-a-database,database_id,Input,String,An identifier for the Notion database.,Required
notion,notion_API-retrieve-a-page-property,page_size,Input,Integer,For paginated properties. The max number of property item objects on a page. The default size is 100,Optional
notion,notion_API-retrieve-a-page-property,property_id,Input,String,Identifier for a page [property](https://developers.notion.com/reference/page#all-property-values),Required
notion,notion_API-retrieve-a-page-property,start_cursor,Input,String,For paginated properties.,Optional
notion,notion_API-retrieve-a-page-property,page_id,Input,String,Identifier for a Notion page,Required
notion,notion_API-retrieve-a-comment,block_id,Input,String,Identifier for a Notion block or page,Required
notion,notion_API-retrieve-a-comment,page_size,Input,Integer,The number of items from the full list desired in the response. Maximum: 100,Optional
notion,notion_API-retrieve-a-comment,start_cursor,Input,String,"If supplied, this endpoint will return a page of results starting after the cursor provided. If not supplied, this endpoint will return the first page of results.",Optional
notion,notion_API-create-a-comment,parent,Input,Object,The page that contains the comment,Required
notion,notion_API-create-a-comment,rich_text,Input,Array,,Required
open-library,open-library_get_book_by_title,title,Input,String,The title of the book to search for.,Required
open-library,open-library_get_authors_by_name,name,Input,String,The name of the author to search for.,Required
open-library,open-library_get_author_info,author_key,Input,String,"The Open Library key for the author (e.g., OL23919A).",Required
open-library,open-library_get_author_photo,olid,Input,String,The Open Library Author ID (OLID) for the author (e.g. OL23919A).,Required
open-library,open-library_get_book_cover,size,Input,String,"The desired size of the cover (S, M, or L).",Optional
open-library,open-library_get_book_cover,key,Input,String,"The type of identifier used (ISBN, OCLC, LCCN, OLID, ID).",Required
open-library,open-library_get_book_cover,value,Input,String,The value of the identifier.,Required
open-library,open-library_get_book_by_id,idValue,Input,String,The value of the identifier.,Required
open-library,open-library_get_book_by_id,idType,Input,String,"The type of identifier used (ISBN, LCCN, OCLC, OLID).",Required
osm-mcp-server,osm-mcp-server_geocode_address,address,Input,String,,Required
osm-mcp-server,osm-mcp-server_geocode_address,result,Output,Array,,Required
osm-mcp-server,osm-mcp-server_reverse_geocode,result,Output,Object,,Required
osm-mcp-server,osm-mcp-server_reverse_geocode,longitude,Input,Number,,Required
osm-mcp-server,osm-mcp-server_reverse_geocode,latitude,Input,Number,,Required
osm-mcp-server,osm-mcp-server_find_nearby_places,longitude,Input,Number,,Required
osm-mcp-server,osm-mcp-server_find_nearby_places,latitude,Input,Number,,Required
osm-mcp-server,osm-mcp-server_find_nearby_places,radius,Input,Number,,Optional
osm-mcp-server,osm-mcp-server_find_nearby_places,categories,Input,Array,,Optional
osm-mcp-server,osm-mcp-server_find_nearby_places,limit,Input,Integer,,Optional
osm-mcp-server,osm-mcp-server_find_nearby_places,result,Output,Object,,Required
osm-mcp-server,osm-mcp-server_get_route_directions,from_latitude,Input,Number,,Required
osm-mcp-server,osm-mcp-server_get_route_directions,result,Output,Object,,Required
osm-mcp-server,osm-mcp-server_get_route_directions,to_latitude,Input,Number,,Required
osm-mcp-server,osm-mcp-server_get_route_directions,mode,Input,String,,Optional
osm-mcp-server,osm-mcp-server_get_route_directions,from_longitude,Input,Number,,Required
osm-mcp-server,osm-mcp-server_get_route_directions,to_longitude,Input,Number,,Required
osm-mcp-server,osm-mcp-server_search_category,max_longitude,Input,Number,,Required
osm-mcp-server,osm-mcp-server_search_category,subcategories,Input,Array,,Optional
osm-mcp-server,osm-mcp-server_search_category,result,Output,Object,,Required
osm-mcp-server,osm-mcp-server_search_category,max_latitude,Input,Number,,Required
osm-mcp-server,osm-mcp-server_search_category,min_latitude,Input,Number,,Required
osm-mcp-server,osm-mcp-server_search_category,category,Input,String,,Required
osm-mcp-server,osm-mcp-server_search_category,min_longitude,Input,Number,,Required
osm-mcp-server,osm-mcp-server_suggest_meeting_point,venue_type,Input,String,,Optional
osm-mcp-server,osm-mcp-server_suggest_meeting_point,locations,Input,Array,,Required
osm-mcp-server,osm-mcp-server_suggest_meeting_point,result,Output,Object,,Required
osm-mcp-server,osm-mcp-server_explore_area,radius,Input,Number,,Optional
osm-mcp-server,osm-mcp-server_explore_area,result,Output,Object,,Required
osm-mcp-server,osm-mcp-server_explore_area,longitude,Input,Number,,Required
